PrintedFor	PrintedBy	Ignored	Original	count
Printed by Solomon Southwick	NA	NA	Printed by Solomon Southwick	12
Printed by Thomas and Samuel Green	NA	NA	Printed by Thomas and Samuel Green	12
Printed by Thomas and John Fleet	NA	NA	Printed by Thomas and John Fleet	12
printed at the Theater	NA	NA	printed in the Theater	12
printed for A. Baldwin, near the Oxford-Arms in Warwick-Lane	NA	NA	printed for A. Baldwin, near the Oxford-Arms in Warwick-Lane	12
printed by P. Byrne, No. 108, Grafton-Street	NA	NA	printed by P. Byrne, No. 108, Grafton-Street	12
printed for J. Johnson	NA	NA	printed for J. Johnson	12
printed for W. Webb, near St. Paul's	NA	NA	printed for W. Webb, near St. Paul's	12
Printed by the assigns of Thomas Newcomb, and Henry Hills, deceas'd; printers to the Queens Most Excellent Majesty	NA	NA	Printed by the assigns of Thomas Newcomb, and Henry Hills, deceas'd; printed to the Queens Most excllent Majesty	12
printed by John Baskett, printer to the King's most excellent Majesty	NA	NA	printed by John Baskett, printed to the King's most printedllent Majesty	12
printed by I. D[awson]. for Nathaniel Butter and Nicholas Bourne	NA	NA	printed by I. Dawson. for Nathaniel Butter and Nicholas Bourne	12
by Bonham Norton, and Iohn Bill, printers to the Kings most excellent Maiestie	NA	NA	by Bonham Norton, and Iohn Bill, printed to the Kings most printedllent Maiestie	12
printed for Richard Baldwin	NA	NA	printed for Richard Baldwin	12
s.n]	NA	NA	s.n.	12
Printed for P. Brooksby, J. Deacon, J. Blare, J. Back	NA	NA	Printed for P. Brooksby, J. Deacon, J. Blare, J. Back	12
printed for Iohn Wright at the Kings Head in the old Bayley	NA	NA	printed for Iohn Wright at the Kings Head in the old Bayley	12
printed by John Macock	NA	NA	printed by John Macock	12
printed by John Bill, Thomas Newcomb, and Henry Hills, printers to the Kings most Excellent Majesty	NA	NA	printed by John Bill, Thomas Newcomb, and Henry Hills, printed to the Kings most excllent Majesty	12
printed for John Partridge	NA	NA	printed for John Partridge	12
by W. Bladen	NA	NA	by W. Bladen	12
printed by the Heir of Andrew Anderson, printer to His most Sacred Majesty	NA	NA	printed by the Heir of Andrew Anderson, printed to His most Sacred Majesty	12
printed by Andrew Crook and Samuel Helsham, assigns of Benjamin Tooke printer to the King's most excellent Majesty; and are to be sold at his Majesties printing-house on Ormonde-Key, and the Colledge-Arms in Castle-street	NA	NA	printed by Andrew Crook and Samuel Helsham, assigns of Benjamin Tooke printed to the King's most printedllent Majesty; and are to be sold at his Majesties printing-house on Ormonde-Key, and the Colledge-Arms in Castle-street	12
By Leonard Lichfield ...	NA	NA	By Leonard Lichfield ..	12
by Robert Ibbitson in Smithfield, neere the Queens-head Tavern	NA	NA	by Robert Ibbitson in Smithfield, neere the Queens-head Tavern	12
by Robert Ibbitson, in Smithfield, neer the Queenes-head Tavern	NA	NA	by Robert Ibbitson, in Smithfield, neer the Queenes-head Tavern	12
printed for Henry Fowler	NA	NA	printed for Henry Fowler	12
printed, and are to be sold by Richard Janeway in Queen's-head-Court in Pater-noster-Row	NA	NA	printed, and are to be sold by Richard Janeway in Queen's-head-Court in Pater-noster-Row	11
printed for H. Jones	NA	NA	printed for H. Jones	11
printed by the executors of David Hay, assignee of the late Boulter Grierson, printer to the King's Most Excellent Majesty	NA	NA	printed by the executors of David Hay, assignee of the late Boulter Grierson, printed to the King's Most excllent Majesty	11
printed by Francis Leach	NA	NA	printed by Francis Leach	11
Printed in the yeare	NA	NA	printed in the yeare	11
s.n.,]	NA	NA	s.n.	11
Printed by Powars and Willis	NA	NA	Printed by Powars and Willis	11
Printed by Alexander Purdie	NA	NA	Printed by Alexander Purdie	11
Printed by Isaac Collins	NA	NA	Printed by Isaac Collins	11
Printed by Benjamin Franklin	NA	NA	Printed by Benjamin Franklin	11
Printed by Francis Childs?	NA	NA	Printed by Francis Childs?	11
Printed by William Weyman	NA	NA	Printed by William Weyman	11
printed for J. Roberts, at the Oxford-Arms in Warwick-Lane	NA	NA	printed for J. Roberts, at the Oxford-Arms in Warwick-Lane	11
printed for John Stockdale	NA	NA	printed for John Stockdale	11
printed for J. Wright, Opposite Old Bond-Street, Piccadilly	NA	NA	printed for J. Wright, Opposite Old Bond-Street, Piccadilly	11
printed by John Exshaw, 98, Grafton-Street	NA	NA	printed by John Exshaw, 98, Grafton-Street	11
printed for J. Roberts, in Warwick-Lane	NA	NA	printed for J. Roberts, in Warwick-Lane	11
printed for J. Milliken, No. 32, Grafton-Street	NA	NA	printed for J. Milliken, No. 32, Grafton-Street	11
printed by the assigns of Thomas Newcomb, and Henry Hills, deceas'd; printers to the Queens most excellent Majesty	NA	NA	printed by the assigns of Thomas Newcomb, and Henry Hills, deceas'd; printed to the Queens most printedllent Majesty	11
printed by Mark Baskett; and by the assigns of Robert Baskett	NA	NA	printed by Mark Baskett; and by the assigns of Robert Baskett	11
In Powles Churchyarde by Richarde Iugge and Iohn Cawood, Printers to the Queenes Maiestie	NA	NA	printed inPowles Churchyarde by Richarde Iugge and Iohn Cawood, printed to the Queenes Maiestie	11
printed for Edward Husband, printer to the Honourable House of Commons	NA	NA	printed for Edward Husband, printed to the Honourable House of Commons	11
printed for Ric. Chiswell, at the Rose and Crown in St. Paul's Church-Yard	NA	NA	printed for Ric. Chiswell, at the Rose and Crown in St. Paul's Church-Yard	11
printed for Iohn Greensmith	NA	NA	printed for Iohn Greensmith	11
printed by the heirs and successors of Andrew Anderson, printer to the King's most excellent Majesty	NA	NA	printed by the heirs and successors of Andrew Anderson, printed to the King's most printedllent Majesty	11
printed for Randal Taylor near Stationers-Hall	NA	NA	printed for Randal Taylor near Stationers-Hall	11
printed by Robert Ibbitson	NA	NA	printed by Robert Ibbitson	11
printed for John Greensmith	NA	NA	printed for John Greensmith	11
printed by Andrew Crook and Samuel Helsham, assigns of Benjamin Tooke printer to the Kings most excellent Majesty; and are to be sold by Andrew Crook at his Majesties printing-house on Ormonde-Key, and by Samuel Helsham at the Colledge-Arms in Castle-street	NA	NA	printed by Andrew Crook and Samuel Helsham, assigns of Benjamin Tooke printed to the Kings most printedllent Majesty; and are to be sold by Andrew Crook at his Majesties printing-house on Ormonde-Key, and by Samuel Helsham at the Colledge-Arms in Castle-street	11
printed by Andrew Crook and Samuel Helsham assigns of Benjamin Tooke printer to the Kings most excellent Majesty; and are to be sold at the Kings printinghouse on Ormonde-Key, and the Colledge-Arms in Castle-street	NA	NA	printed by Andrew Crook and Samuel Helsham assigns of Benjamin Tooke printed to the Kings most printedllent Majesty; and are to be sold at the Kings printinghouse on Ormonde-Key, and the Colledge-Arms in Castle-street	11
printed for Matthew Walbancke	NA	NA	printed for Matthew Walbancke	11
printed by John Macock, and Francis Tyton, printers to the House of Lords	NA	NA	printed by John Macock, and Francis Tyton, printed to the House of Lords	11
Printed for Edw. Husbands	NA	NA	Printed for Edw. Husbands	11
printed for Edw. Husbands, and are to be sold at his shop in the middle Temple	NA	NA	printed for Edw. Husbands, and are to be sold at his shop in the middle Temple	11
printed by W[illiam]. Chase, by order of the Goaler	NA	NA	printed by William. Chase, by order of the Goaler	10
Printed by Richard Cotes, printer to the Honourable City of London	NA	NA	Printed by Richard Cotes, printed to the Honourable City of London	10
Printed by Samuel Green	NA	NA	Printed by Samuel Green	10
Printed by Francis Bailey, in Market-Street	NA	NA	Printed by Francis Bailey, in Market-Street	10
Printed by Hugh Gaine	NA	NA	Printed by Hugh Gaine	10
Printed by John Dunlap, in Market-Street	NA	NA	Printed by John Dunlap, in Market-Street	10
Printed by Zechariah Fowle	NA	NA	Printed by Zechariah Fowle	10
printed for C. Dilly, in the Poultry	NA	NA	printed for C. Dilly, in the Poultry	10
printed for E. Newbery, the Corner of St. Paul's Church-Yard	NA	NA	printed for E. Newbery, the Corner of St. Paul's Church-Yard	10
printed for Sam. Buckley, in Amen-Corner	NA	NA	printed for Sam. Buckley, in Amen-Corner	10
printed by the heirs and successors of Andrew Anderson	NA	NA	printed by the heirs and successors of Andrew Anderson	10
printed by John Reid	NA	NA	printed by John Reid	10
printed by Mark Baskett, Printer to the King's most Excellent Majesty ; and by the assigns of Robert Baskett	NA	NA	printed by Mark Baskett, printed to the King's most excllent Majesty ; and by the assigns of Robert Baskett	10
printed by Thomas Baskett, Printer to the King's most Excellent Majesty ; and by the assigns of Robert Baskett	NA	NA	printed by Thomas Baskett, printed to the King's most excllent Majesty ; and by the assigns of Robert Baskett	10
Printed by George Grierson, printer to the King's Most Excellent Majesty, at the King's-Arms and Two Bibles in Essex-Street	NA	NA	Printed by George Grierson, printed to the King's Most excllent Majesty, at the King's-Arms and Two Bibles in Essex-Street	10
printed by the executors of David Hay, assignee of the late Boulter Grierson	NA	NA	printed by the executors of David Hay, assignee of the late Boulter Grierson	10
Printed by Charles Bill, and the Executrix of Thomas Newcomb, deceas'd; printers to the Queens Most Excellent Majesty	NA	NA	Printed by Charles Bill, and the Executrix of Thomas Newcomb, deceas'd; printed to the Queens Most excllent Majesty	10
printed for Francis Wright	NA	NA	printed for Francis Wright	10
printed by Charles Bill and Thomas Newcomb, printers to the King and Queen's most excellent Majesties	NA	NA	printed by Charles Bill and Thomas Newcomb, printed to the King and Queen's most printedllent Majesties	10
printed by J.C.	NA	NA	printed by J.C	10
re-printed by the heir of Andrew Anderson, printer to His most Sacred Majesty	NA	NA	reprinted by the heir of Andrew Anderson, printed to His most Sacred Majesty	10
Printed by Samuel Roycroft, printer to the honourable city of London	NA	NA	Printed by Samuel Roycroft, printed to the honourable city of London	10
printed for Laurence Blaiklock	NA	NA	printed for Laurence Blaiklock	10
by Leonard Lichfield printer to the University	NA	NA	by Leonard Lichfield printed to the University	10
printed by Jane Coe	NA	NA	printed by Jane Coe	10
printed for Edward Husband	NA	NA	printed for Edward Husband	10
printed for D.M.	NA	NA	printed for D.M	10
printed by Andrew Crook, printer to the Kings Most Excellent Majesty, on Ormonde-Key	NA	NA	printed by Andrew Crook, printed to the Kings Most excllent Majesty, on Ormonde-Key	10
printed for Edward Husband, printer to the Parliament of England, and are to be sold at his shop in Fleetstreet, at the sign of the Golden-Dragon, near the Inner-Temple	NA	NA	printed for Edward Husband, printed to the Parliament of England, and are to be sold at his shop in Fleetstreet, at the sign of the Golden-Dragon, near the Inner-Temple	10
Printed by Andrew Clark ..	NA	NA	Printed by Andrew Clark .	10
printed for J. Horton	NA	NA	printed for J. Horton	10
printed by Robert Ibbitson in Smithfield	NA	NA	printed by Robert Ibbitson in Smithfield	10
printed by John Clowes	NA	NA	printed by John Clowes	10
printed for R.G.	NA	NA	printed for R.G	9
printed by Andrew Crooke, printer to the King's Most Excellent Majesty, at the King's-Arms in Copper-Alley	NA	NA	printed by Andrew Crooke, printed to the King's Most excllent Majesty, at the King's-Arms in Copper-Alley	9
by Evan Tyler, printer to the Kings most Excellent Majestie	NA	NA	by Evan Tyler, printed to the Kings most excllent Majestie	9
printed by Robert Barker, and John Bill, printers to the Kings most Excellent Majesty	NA	NA	printed by Robert Barker, and John Bill, printed to the Kings most excllent Majesty	9
printed by Henry Hills and Iohn Field, printers to His Highness	NA	NA	printed by Henry Hills and Iohn Field, printed to His Highness	9
printed by Hen: Hills and John Field, printers to His Highness the Lord Protector	NA	NA	printed by Hen: Hills and John Field, printed to His Highness the Lord Protector	9
printed by Charles Bill and the executrix of Thomas Newcomb, deceas'd; printers to the King's most excellent Majesty	NA	NA	printed by Charles Bill and the executrix of Thomas Newcomb, deceas'd; printed to the King's most printedllent Majesty	9
printed for John Wright at the Kings head in the old Bayley	NA	NA	printed for John Wright at the Kings head in the old Bayley	9
printed by Evan Tyler, printer to the King's most excellent Majesty	NA	NA	printed by Evan Tyler, printed to the King's most printedllent Majesty	9
printed by W[illiam]. Chase, by order of the goaler	NA	NA	printed by William. Chase, by order of the goaler	9
Printed and sold by T. Green	NA	T Green	NA	9
Printed and sold by Edes and Gill, in Queen-Street	NA	Edes and Gill	NA	9
Printed and sold by Timothy Green	NA	Timothy Green	NA	9
Printed by Bennett Wheeler	NA	NA	Printed by Bennett Wheeler	9
Printed by M.K. Goddard	NA	NA	Printed by M.K. Goddard	9
Printed by John Holt, printer to the state of New-York	NA	NA	Printed by John Holt, printed to the state of New-York	9
Printed by F. Bailey, in Market-Street	NA	NA	Printed by F. Bailey, in Market-Street	9
